                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.94776,                  1.932,                0.75908,                 1.1864,                0.93214,                0.73239,                0.87936,                0.60392,                 0.7758,                0.64789,                 0.7025,                0.30011,                 1.0847,                 2.3995,                 1.0085,                 1.1818,              0.0011684,              0.0011684,              0.0011684
                     44,                0.96029,                 1.9111,                 0.7885,                 1.2093,                0.88775,                0.74648,                0.85473,                0.55127,                0.83919,                0.66197,                0.71557,                0.31188,                 1.2163,                 2.3322,                 1.0866,                 1.2782,              0.0011486,              0.0011486,              0.0011486
                     45,                0.91958,                 1.6791,                0.75051,                 1.2094,                0.79232,                0.77465,                0.82934,                0.56831,                0.79731,                 0.6338,                0.70719,                0.29927,                 1.1524,                 2.4153,                0.97418,                 1.2174,              0.0011288,              0.0011288,              0.0011288
                     46,                0.92547,                  1.704,                0.74536,                 1.1963,                0.82257,                0.92958,                0.92652,                0.51975,                0.85864,                0.69014,                0.70964,                0.29481,                 1.4083,                 2.0092,                 1.0255,                 1.4616,               0.001109,               0.001109,               0.001109
                     47,                0.94973,                 1.7451,                 0.7725,                 1.2123,                0.84881,                0.83099,                0.88847,                0.55927,                0.78614,                0.77465,                0.75643,                0.34127,                 1.2618,                 2.4541,                 1.0486,                 1.2191,              0.0010892,              0.0010892,              0.0010892
                     48,                0.94085,                 2.0093,                0.76291,                 1.1896,                0.87861,                0.80282,                0.89399,                 0.5721,                0.84883,                0.77465,                   0.78,                0.32634,                 1.3888,                 2.0376,                  1.001,                 1.3158,              0.0010694,              0.0010694,              0.0010694
                     49,                0.91172,                 1.7076,                0.75545,                 1.1825,                0.86126,                0.77465,                0.89107,                0.54265,                0.76561,                0.69014,                0.70218,                 0.2869,                 1.3504,                 2.2022,                0.93777,                 1.2874,              0.0010496,              0.0010496,              0.0010496
                     50,                0.90386,                  1.834,                0.76811,                 1.1936,                0.86123,                0.78873,                 0.8584,                0.54079,                0.66313,                0.64789,                0.59619,                0.26164,                 1.3251,                 2.1486,                0.91148,                 1.2271,              0.0010298,              0.0010298,              0.0010298
                     51,                0.89411,                 1.7519,                0.71204,                 1.1844,                0.67146,                 0.8169,                0.79715,                0.49618,                0.67862,                 0.6246,                0.59955,                0.22596,                 1.3775,                 2.1507,                 1.0454,                 1.3035,                0.00101,                0.00101,                0.00101
                     52,                0.91341,                 1.8297,                0.74603,                 1.1807,                0.81062,                0.78377,                0.79613,                0.48987,                0.62701,                 0.6338,                0.57021,                 0.2632,                 1.3628,                 2.2124,                0.94451,                  1.283,              0.0009902,              0.0009902,              0.0009902
                     53,                0.89047,                 1.6222,                0.70636,                  1.162,                0.82785,                0.80282,                0.85418,                0.57389,                0.60433,                0.69014,                 0.5918,                0.29055,                 1.1792,                 2.2404,                0.89772,                 1.1658,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.9401,                 1.6784,                0.77227,                 1.2084,                0.86782,                0.78873,                0.88671,                0.55876,                0.71172,                0.64789,                0.66685,                  0.315,                 1.3736,                 1.9737,                 1.1917,                 1.3422,              0.0009506,              0.0009506,              0.0009506
                     55,                0.84936,                 1.6041,                0.71495,                 1.1544,                0.88984,                0.76056,                0.88609,                0.61336,                0.68202,                0.60563,                0.59985,                0.25742,                 1.1539,                 2.4547,                0.95192,                 1.1893,              0.0009308,              0.0009308,              0.0009308
                     56,                0.87171,                 1.6587,                0.72451,                 1.1835,                0.80095,                0.71831,                0.84448,                0.55009,                0.57745,                0.67606,                0.53766,                0.23133,                 1.3498,                 2.3168,                0.93668,                 1.2315,               0.000911,               0.000911,               0.000911
                     57,                0.88313,                 1.8147,                0.71063,                 1.1912,                0.70529,                0.83099,                0.81981,                0.55371,                0.72684,                0.70423,                0.69419,                0.30675,                 1.1695,                 2.1153,                0.91708,                 1.1702,              0.0008912,              0.0008912,              0.0008912
                     58,                0.83571,                 1.7512,                0.67491,                 1.1518,                0.84437,                0.77465,                0.83731,                0.56028,                0.72766,                0.71506,                0.68633,                0.31051,                 1.1742,                   2.48,                0.87391,                 1.1742,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.8476,                 1.6678,                 0.7208,                 1.1711,                0.82243,                 0.8169,                0.85935,                0.55403,                0.71028,                0.70423,                  0.691,                0.28462,                 1.2437,                 2.5299,                0.89214,                 1.2159,              0.0008516,              0.0008516,              0.0008516
                     60,                0.79554,                 1.6021,                 0.6806,                 1.1328,                0.73588,                0.84507,                0.87701,                 0.5598,                 0.7032,                0.60563,                0.64421,                0.25982,                 1.2674,                  2.301,                0.86799,                 1.2413,              0.0008318,              0.0008318,              0.0008318
                     61,                0.82734,                 1.5466,                0.67221,                 1.1412,                0.88639,                0.76923,                0.87927,                0.61745,                0.73731,                0.63253,                 0.6225,                0.26313,                 1.1017,                 2.3513,                 0.7731,                 1.1536,               0.000812,               0.000812,               0.000812
                     62,                0.82004,                 1.6123,                0.65908,                  1.152,                0.81569,                0.94366,                0.90961,                0.59765,                0.64553,                0.69014,                0.59143,                0.27052,                 1.2648,                 2.5198,                0.80498,                 1.2718,              0.0007922,              0.0007922,              0.0007922
                     63,                0.81684,                 1.4887,                0.65996,                 1.1668,                0.85927,                0.87324,                0.90744,                0.60762,                0.77472,                0.76056,                0.73125,                0.32183,                 1.2025,                 2.3488,                0.77475,                 1.2683,              0.0007724,              0.0007724,              0.0007724
                     64,                0.81719,                 1.6727,                0.69934,                 1.1277,                  0.904,                0.78873,                0.88656,                 0.6183,                  0.813,                0.70423,                0.74672,                0.37148,                 1.1707,                 2.2874,                0.79869,                 1.2317,              0.0007526,              0.0007526,              0.0007526
                     65,                0.81824,                 1.6084,                0.65942,                  1.126,                0.91723,                0.85915,                0.89073,                0.63258,                0.82283,                0.71958,                0.75148,                0.36788,                 1.1242,                 2.0849,                0.81208,                 1.2104,              0.0007328,              0.0007328,              0.0007328
